Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Commercial service exports (current US$),,,,,,,,,,,,,,,,,1315000000,2527000000,3749000000,3960000000,4858400000,5959500000,6958000000,6623100000,6687400000,5675400000,6029300000,8095900000,8866500000,9329900000,10310600000,10873500000,11529400000,13608000000,17465600000,23730500000,24206000000,27391300000,26694000000,27463800000,31769000000,29824200000,29980500000,34557300000,43907600000,49119500000,55502700000,69792900000,89839000000,71426700000,81931900000,89365200000,1.01899E+11,1.02116E+11,1.10757E+11,96443100000,93893400000,88720200000,1.02945E+11,1.02971E+11,89354300000
Ores and metals exports (% of merchandise exports),,,24.40670162,15.92806175,17.31684886,14.2858468,11.30341145,9.089153205,7.369213254,6.262444021,5.666883605,3.458039074,2.372680276,1.54131361,1.66347828,1.300527226,1.077495683,1.108089771,0.958418995,0.946024278,1.130680097,0.947586432,0.970039272,1.04639747,0.7371886,0.683968327,0.659321459,0.735037309,0.862925338,1.060463283,0.833591523,0.706813848,0.831291256,0.763835072,0.956557823,1.012100393,0.903405135,1.352520652,1.666223738,1.356582602,1.237349621,1.255890352,1.335725322,1.45942304,1.65593628,1.692306932,2.475604272,2.473359291,2.211215457,1.90648874,2.06565909,2.272005304,2.107256604,1.979197711,2.009342959,2.023398336,2.069795867,2.049104884,2.168408057,2.263814882,2.610587412
Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICT goods imports (% total goods imports),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.58792453,19.04914659,19.02187244,18.64536757,16.6481321,15.24898634,13.87442795,13.26387279,11.4762448,12.95487291,11.87982765,10.42792935,9.791520601,10.44382481,11.4157888,14.66513337,15.69569062,15.01891059,13.97320664,15.86532058,17.87725008
"Tariff rate, most favored nation, simple mean, all products (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.03,14.98,13.43,,11.75,,,9.07,14.2,13.83,13.97,9.19,13.55,13.61,12.7,12.81,12.09,12.12,12.12,12.25,12.2,11.92,12.12,12.14,13.38,13.39,13.35,13.94,13.94,14.07,14.07,,14.07
"International tourism, expenditures (current US$)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6947000000,8291000000,8039000000,4027000000,5555000000,7945000000,8349000000,11440000000,11063000000,13507000000,16924000000,20947000000,24431000000,21447000000,16355000000,20788000000,22195000000,22934000000,24459000000,26136000000,27957000000,29817000000,34453000000,38022000000,35339000000,16705000000
Completeness of death registration with cause-of-death information (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.3,,,,,98.5,,,,,98.5,,,,,,,,99,99,,,,,100,,,,
Age dependency ratio (% of working-age population),87.28454214,88.90811688,89.42784753,89.17724967,88.68789816,88.20518735,87.26666714,86.53176892,85.75346147,84.56792023,82.8575086,81.08271396,79.03536986,76.8011588,74.49314285,72.15364221,70.05492977,67.70682607,65.3213644,63.1387429,61.24721166,59.17771873,57.53970735,56.10874619,54.55273943,52.73458798,51.31056642,49.42348462,47.36160778,45.5638806,44.23899904,42.82274041,42.11918114,41.82362224,41.47168,40.85918277,40.76854317,40.17959222,39.37453414,38.76399735,38.50576359,38.16593627,38.1734445,38.35722125,38.43875808,38.29448984,38.03148198,37.68815669,37.27863077,36.89187604,36.60253551,36.45763287,36.32676557,36.23160843,36.21445287,36.31607502,36.67900184,37.13234993,37.7256402,38.51685798,39.53562804
"Population ages 60-64, male (% of male population)",1.942103682,1.871616792,1.790712391,1.722525483,1.695390003,1.71977412,1.778403824,1.871997203,1.973812973,2.051127899,2.089598516,2.082301333,2.049349057,2.007880203,1.976989373,1.965410055,1.952818978,1.952884962,1.966386798,1.994045319,2.0350963,2.082485169,2.142580827,2.202681117,2.246235651,2.266471033,2.255418674,2.230040868,2.20839712,2.213404606,2.256426794,2.331176785,2.425816983,2.539284502,2.673143944,2.826773414,2.976400771,3.156647797,3.341457966,3.491568843,3.587704834,3.641358349,3.645514706,3.632737639,3.650872841,3.725116899,3.846909558,4.020770929,4.222827906,4.414903552,4.576685448,4.651839946,4.718074011,4.828434037,5.029780041,5.326281009,5.675621196,6.09071518,6.52766505,6.921004215,7.231023756
"Population ages 20-24, male (% of male population)",8.749038316,8.659293748,8.513850317,8.340846732,8.197664599,8.131666411,8.171888586,8.293332199,8.466328243,8.633566566,8.757098341,8.83490925,8.858320992,8.889223749,9.008970947,9.252415189,9.577786539,10.01847214,10.49691436,10.88860658,11.11738994,11.27187902,11.25040152,11.10310696,10.92834191,10.79403765,10.68371669,10.62014264,10.5867774,10.55139626,10.49643239,10.47704807,10.43664378,10.36424037,10.24485967,10.06794076,9.798492395,9.476184902,9.127585233,8.807855052,8.560607517,8.423537249,8.359583366,8.314210463,8.210037192,8.009328172,7.72402813,7.349649374,6.962484754,6.677275594,6.559386093,6.660173622,6.877392177,7.123136774,7.290998382,7.334792428,7.301501709,7.198302272,7.030303082,6.812518487,6.557853092
"Population ages 0-14, male (% of male population)",44.50253194,44.88078846,44.92952245,44.75854219,44.54103421,44.35863791,44.06544342,43.85945144,43.65634108,43.32665376,42.81880883,42.22993928,41.53971522,40.77486702,39.97287695,39.1456383,38.35344154,37.45251585,36.51597058,35.63828234,34.86031124,33.9614481,33.23231553,32.57905825,31.85167048,30.98162437,30.22618431,29.23733095,28.1420396,27.15988093,26.41000703,25.59520594,25.14542174,24.90274669,24.61207349,24.15385317,23.93454182,23.42211607,22.76049898,22.17113895,21.74517227,21.2072984,20.84547217,20.56948814,20.23177989,19.76931463,19.23132131,18.64218134,18.00448901,17.36368813,16.7579329,16.20496132,15.65554012,15.13068478,14.64736273,14.21068715,13.90720919,13.61616897,13.34613268,13.10386415,12.88831067
"Life expectancy at birth, female (years)",59.509,60.069,60.531,60.956,61.392,61.883,62.453,63.086,63.762,64.475,65.8,66.3,66.8,67.3,67.8,68.2,68.6,69.1,69.5,69.9,70.4,70.9,71.5,71.9,72.6,73.2,73.8,74.3,74.8,75.3,75.9,76.4,76.8,77.3,77.7,77.9,78.3,78.7,79,79.2,79.7,80.1,80.3,80.8,81.2,81.6,82.1,82.5,83,83.4,83.6,84,84.2,84.6,85,85.2,85.4,85.7,85.7,86.3,
International migrant stock (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100104128,,,,,0.277441643,,,,,0.52845208,,,,,1.019928995,,,,,1.872630337,,,,,2.639159354,,,,,
"Share of youth not in education, employment or training, female (% of female youth population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labor force, total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19185010,19787665,20218468,20497421,21033262,21498442,21828771,22322162,21993990,22308894,22976420,23417394,23869030,23850605,24344407,24464988,24732517,24986726,25160289,25182792,25510485,25927886,26294967,26647943,27396653,27784825,28000418,28292428,28455950,28681530,28444037
Labor force with basic education (% of total working-age population with basic education),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.5,63.81999969,63.5,59.22000122,58.81000137,57.31999969,56.50999832,55.79000092,54.91999817,54.04999924,53.25,52.36000061,51.70000076,51.09999847,50.63999939,49.75,48.93000031,48.34000015,47.61999893,47.77000046,47.34999847
"Children in employment, work only (% of children in employment, ages 7-14)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Employment in services, female (% of female employment) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.74000168,55.27999878,58.38999939,60.68999863,62.31999969,64.09999847,66.25,67.25,68.26000214,68.66000366,70.19000244,71.33999634,71.95999908,73.16000366,74.94999695,75.91999817,76.52999878,77.25,78.73000336,78.76999664,78.86000061,79.70999908,77.81999969,80.61000061,80.87000275,81.69000244,81.55000305,81.76999664,82.36000061,
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.10000038,22.30999947,23.53000069,22.52000046,21.38999939,20.70000076,19.86000061,22.51000023,20.37999916,19.55999947,18.45000076,17.44000053,16.87999916,15.15999985,14.09000015,13.51000023,12.75,12.52999973,12,11.02000046,10.85000038,10.61999989,10.19999981,9.899999619,9.140000343,8.770000458,8.460000038,8.43999958,8.100000381,
Female share of employment in senior and middle management (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Child employment in agriculture (% of economically active children ages 7-14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Multidimensional poverty headcount ratio, female (% of female population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income share held by second 20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9,,12.8,,12.9,,13,,13.1,,13,,,,
Current health expenditure per capita (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.2362366,508.3613281,544.0371704,644.1321411,717.2919312,886.2874146,1064.65271,1223.018433,1151.716064,1105.790527,1365.912842,1512.532715,1565.656006,1700.952881,1899.138916,1919.037354,2033.851196,2257.517578,2543.596436,2624.533203,
"Incidence of tuberculosis (per 100,000 people)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,84,78,82,77,94,92,91,88,94,95,99,93,88,85,79,76,70,65,59,49
"Prevalence of stunting, height for age, male (% of children under 5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,
"People practicing open defecation, rural (% of rural population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"People using at least basic sanitation services, rural (% of rural population)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,22,21.5,20.6,19.9,18.7,17.7,17.1,16.3,15.5,14.9,14,13.4,12.5,12.2,11.7,11.4,10.9,10.5,10.1,
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.725643278,,,,,,,,,,7.113620124,,,,,9.724750982,,,,12.82878715,
Women who believe a husband is justified in beating his wife when she goes out without telling him (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure on primary education (% of government expenditure on education),,,,,,,,,,,67.53982,66.30573,60.96674,63.09199,,52.18084,63.5317,58.78483,,55.92366,47.91621,63.21511,34.90451,46.24193,45.90413,44.67247,44.5506,44.03656,52.99326,46.9202,43.64477,43.14039,42.21313,40.74375,44.51693,44.48925,,,39.58746,41.42457,,,,,,,,,,,,,,,,,31.69974,,,,
"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.381860018,,,,,3.314239979,,,,,
"Trained teachers in upper secondary education, female (% of female teachers)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Secondary education, vocational pupils (% female)",,,,,,,,,,,,28.8726,30.65358,31.88227,34.55794,34.08417,32.57059,32.99683,34.49864,35.85632,41.60494,43.94766,43.37898,43.96666,46.35564,47.74082,49.56726,52.21403,50.5192,51.4527,52.08066,53.08537,53.40017,53.42342,51.92945,53.56839,53.49782,51.37363,50.60399,49.12504,48.99036,48.8701,48.19034,47.61595,46.88856,46.40952,45.9297,45.98634,45.56075,45.33732,45.16106,44.47422,43.77762,43.26037,42.92178,42.43298,41.6213,41.34715,,,
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",,,,,,,,,,,27.58366966,,,,,35.59999847,,,,,45.8061409,,,,,,,,,,67.30000305,,,,,71.92485046,,,,,77.04573822,,,,,80.48001099,,,,77.86541748,82.90116882,,,,,85.72084045,,,,,
"Primary education, teachers (% female)",,,,,,,,,,,,29.10924911,31.52491951,32.82704926,33.42004013,33.61257172,33.70141983,34.15410995,35.04428864,35.61109161,36.04399109,36.78022003,38.48379135,39.91265869,41.31481171,42.11101913,43.06502914,43.70249176,45.65550995,47.31412888,48.74794006,50.14912033,51.60810089,52.71797943,54.5292511,55.61577988,57.19009018,62.59502029,64.31694794,66.80658722,70.30213165,71.57196808,72.21811676,72.97367096,73.97943878,74.95600891,75.9172287,76.55339813,77.21186829,77.53192139,77.87177277,78.24536133,78.70191193,78.63900757,78.57901001,78.36936951,78.10397339,77.826828,77.67868042,77.4656601,
"Over-age students, primary, male (% of male enrollment)",,,,,,,,,,,,8.48339,8.34558,8.78513,8.08239,7.13486,6.68858,6.18764,5.97029,5.47777,4.63846,4.85776,4.25601,3.69512,3.82272,3.17126,2.59161,2.1118,1.80073,1.23055,1.33136,1.20975,1.37838,1.59576,2.03843,2.08536,2.02141,1.87535,0.83657,1.11634,1.3783,1.03358,1.1388,1.32673,2.01875,1.4123,1.3187,1.45416,1.88396,2.25765,1.59331,2.1302,2.55039,2.80483,2.62727,0.81191,0.82486,0.79865,,,
"Primary education, pupils",,,,,,,,,,,,5749301,5807448,5775880,5692285,5618768,5599074,5503737,5514417,5604365,5640712,5658002,5586494,5465248,5257164,5040958,4856752,4798323,4771722,4819857,4894261,4868520,4758505,4560128,4347317,4110302,3915848,3794447,3844949,3945977,4030413,4099649,4148432,4185330,4125529,4031590,3933186,3837761,3679629,3481764,3306211,3139724,2959090,2790890,2736224,2721766,2680126,2681815,2719358,2755682,
"Preprimary education, duration (years)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5
Coverage of social insurance programs in 3rd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net secondary income (Net current transfers from abroad) (current LCU),18140000000,22630000000,23620000000,24790000000,30280000000,34870000000,35400000000,33560000000,31530000000,32670000000,23900000000,23600000000,25700000000,29100000000,29400000000,33400000000,80100000000,1.106E+11,1.761E+11,1.657E+11,2.566E+11,3.641E+11,4.09E+11,4.797E+11,4.873E+11,7.104E+11,1.1258E+12,1.3827E+12,1.4689E+12,6.339E+11,6.848E+11,5.747E+11,7.44E+11,6.541E+11,6.972E+11,2.795E+11,-1.535E+11,8.837E+11,4.3419E+12,1.152E+12,-78600000000,-1.2374E+12,-1.9366E+12,-3.1508E+12,-2.6403E+12,-2.4115E+12,-3.3087E+12,-2.499E+12,1.625E+11,-1.0578E+12,-5.1994E+12,-4.0516E+12,-4.5589E+12,-2.66E+12,-3.3799E+12,-4.2447E+12,-5.1392E+12,-6.439E+12,-7.2123E+12,-5.8962E+12,-2.1009E+12
GNI per capita (constant 2015 US$),1039.801067,1083.565657,1093.157305,1155.313796,1234.831086,1297.269708,1428.89567,1539.289741,1695.491541,1894.409878,2021.501866,2162.951573,2260.922864,2548.348489,2751.442795,2878.723501,3220.840636,3568.872307,3926.362003,4180.022457,4014.432963,4217.439805,4520.953447,5043.742426,5484.085421,5804.427675,6398.232017,7219.573615,8047.135425,8578.712231,9354.684623,10260.75504,10780.2921,11405.07835,12320.6706,13352.71328,14273.06255,14982.23342,13991.91972,15523.92339,16872.97184,17556.0509,18863.35563,19361.36647,20324.66047,21041.3096,22127.4554,23301.76176,23888.62267,23911.81313,25488.52101,26343.03648,26944.06806,27564.1849,28227.04879,28822.10397,29570.43333,30432.39205,31165.62379,31941.02472,31596.98724
Total natural resources rents (% of GDP),,,,,,,,,,,0.168894151,0.159329518,0.153518241,0.400536452,0.49058202,0.78512869,0.571243489,0.483741398,0.310065442,0.266588511,0.449245393,0.624635641,0.629692925,0.311602107,0.206786128,0.252563019,0.145107176,0.067129696,0.117775617,0.109872096,0.070009432,0.038230153,0.027147232,0.017671053,0.018230093,0.028605796,0.02290016,0.020638275,0.036562924,0.02225615,0.019602495,0.028086568,0.022119429,0.025510996,0.020482169,0.019406629,0.019733806,0.023980484,0.041993548,0.035771813,0.032123172,0.033507277,0.045904419,0.02764891,0.024329381,0.018425354,0.018799025,0.022206689,0.021995292,0.099287689,
GDP (current LCU),2.4986E+11,3.0169E+11,3.6586E+11,5.1854E+11,7.3968E+11,8.3139E+11,1.06607E+12,1.31362E+12,1.6929E+12,2.21266E+12,2.7966E+12,3.438E+12,4.2677E+12,5.5273E+12,7.905E+12,1.05436E+13,1.44728E+13,1.86081E+13,2.51545E+13,3.24023E+13,3.97251E+13,4.96698E+13,5.72866E+13,6.80801E+13,7.85913E+13,8.81297E+13,1.02986E+14,1.21698E+14,1.45995E+14,1.65802E+14,2.00556E+14,2.42481E+14,2.77541E+14,3.15181E+14,3.72493E+14,4.36989E+14,4.90851E+14,5.42002E+14,5.37215E+14,5.91453E+14,6.51634E+14,7.07021E+14,7.84741E+14,8.37365E+14,9.08439E+14,9.57448E+14,1.01E+15,1.09E+15,1.15E+15,1.21E+15,1.32E+15,1.39E+15,1.44E+15,1.50E+15,1.56E+15,1.66E+15,1.74E+15,1.84E+15,1.90E+15,1.92E+15,1.93E+15
"Adjusted net savings, excluding particulate emission damage (% of GNI)",,,,,,,,,,,,,,,,,19.0649285,21.65787696,25.13044429,23.92064388,17.34450088,16.15870206,20.02215325,21.75936357,24.06708344,23.61486425,26.72367674,29.99377236,31.3394078,28.75375727,28.71258492,29.236137,27.62916183,27.43089122,27.60111102,25.74537421,23.50104613,22.38348156,20.73478371,19.48969374,18.24710005,16.09926409,16.39408294,18.03776222,20.82016895,19.07759198,18.4261674,19.30324281,17.99040592,16.95784815,19.5620157,18.7609232,18.21739392,19.0406905,19.28864773,20.84115549,21.33287807,21.6152067,20.03680081,17.7729959,
Adjusted savings: energy depletion (% of GNI),,,,,,,,,,,,0.001708714,0.001771636,0.00263987,0.03573981,0.138624979,0.095020771,0.079219306,0.048788762,0.036681877,0.06896361,0.12145089,0.121130911,0.052646574,0.034480547,0.044423658,0.019472394,0.000615402,0.00637737,0.007366145,0.006090846,0.003680815,0.001235872,6.26E-05,4.45E-05,0.000386201,6.68E-05,2.93E-05,0.000138222,4.54E-05,0.000228735,0.001585517,0.000107165,9.27E-05,0.002573105,0.004628725,0.004138484,0.00369416,0.005636302,0.006021587,0.005997461,0.006553646,0.00473235,0.004158974,0.002711032,0.001222233,0.000760605,0.001873567,0.00246149,0.001491884,
"Services, value added (current LCU)",97620000000,1.1309E+11,1.4029E+11,1.7242E+11,2.2079E+11,2.8096E+11,3.8484E+11,5.1471E+11,6.6436E+11,8.6961E+11,1.1167E+12,1.4133E+12,1.7637E+12,2.2332E+12,3.2298E+12,4.1734E+12,5.6713E+12,7.3195E+12,9.8222E+12,1.27017E+13,1.70188E+13,2.13761E+13,2.49937E+13,2.92986E+13,3.38378E+13,3.89637E+13,4.6144E+13,5.47918E+13,6.53605E+13,7.67786E+13,9.32316E+13,1.14327E+14,1.34631E+14,1.54824E+14,1.831E+14,2.15263E+14,2.46792E+14,2.75112E+14,2.80411E+14,3.05488E+14,3.36364E+14,3.75315E+14,4.20678E+14,4.51099E+14,4.82354E+14,5.15863E+14,5.50056E+14,6.00171E+14,6.48522E+14,6.74978E+14,7.23447E+14,7.59052E+14,7.93116E+14,8.28656E+14,8.69692E+14,9.2147E+14,9.63672E+14,1.01E+15,1.06E+15,1.10E+15,1.10E+15
"Manufacturing, value added (constant LCU)",1.2939E+12,1.3639E+12,1.5714E+12,1.8234E+12,2.001E+12,2.4501E+12,2.902E+12,3.5844E+12,4.3943E+12,5.1618E+12,5.9886E+12,7.0385E+12,8.0955E+12,1.05525E+13,1.22865E+13,1.38489E+13,1.676E+13,1.94906E+13,2.44179E+13,2.6972E+13,2.66031E+13,2.90667E+13,3.05487E+13,3.57134E+13,4.27616E+13,4.57247E+13,5.31701E+13,6.39567E+13,7.25303E+13,7.5732E+13,8.42863E+13,9.61422E+13,1.01867E+14,1.09195E+14,1.21858E+14,1.37668E+14,1.49868E+14,1.59258E+14,1.48018E+14,1.78584E+14,2.07466E+14,2.13365E+14,2.33593E+14,2.4534E+14,2.70703E+14,2.85096E+14,3.07506E+14,3.32669E+14,3.44459E+14,3.36416E+14,3.82243E+14,4.02282E+14,4.0796E+14,4.20493E+14,4.33854E+14,4.41134E+14,4.51294E+14,4.6807E+14,4.8353E+14,4.88935E+14,4.84649E+14
External balance on goods and services (% of GDP),-9.357240054,-9.920779608,-11.72306347,-10.70891349,-7.416720744,-7.201193183,-9.775155478,-10.56622159,-12.4927639,-11.84004773,-9.683186727,-10.33740547,-4.843358249,-3.728764496,-11.07020873,-8.676353428,-2.817699409,-1.82769869,-4.225884037,-7.234980233,-8.652464059,-7.251488832,-5.493256713,-2.140860545,0.440125052,1.08623994,3.828391875,6.630358149,6.274885321,1.803478611,-0.761631902,-2.271929647,-0.614648369,0.426262599,-0.524304592,-1.015518018,-3.05003006,-0.832008307,10.57589015,5.418892118,1.783177806,1.351684879,1.192469416,1.621073248,3.492958032,2.241354568,0.600963702,0.909834093,-0.232582016,4.237084453,2.807877326,1.109150219,2.729774933,4.632037266,5.048399834,6.846628666,6.661492357,4.747496075,4.437716173,2.79458317,3.67619749
Changes in inventories (constant LCU),1.132E+11,3.348E+11,-7.348E+11,1.1832E+12,1.2996E+12,4.984E+11,78700000000,62500000000,94400000000,1.0531E+12,9.715E+11,2.2703E+12,-1.7589E+12,1.0093E+12,6.0635E+12,2.6099E+12,1.927E+11,1.518E+12,1.175E+11,4.7375E+12,1.3478E+12,3.7446E+12,4.0057E+12,4.0842E+12,3.5995E+12,6.3921E+12,7.3845E+12,6.5683E+12,1.33723E+13,1.696E+13,6.5752E+12,1.7868E+13,7.4367E+12,3.3041E+12,9.3344E+12,5.3704E+12,1.98464E+13,1.21874E+13,-1.07059E+13,9.5515E+12,1.00583E+13,8.3459E+12,9.4355E+12,7.4486E+12,1.38284E+13,1.77965E+13,2.61739E+13,2.68769E+13,3.04195E+13,-8.0591E+12,1.71708E+13,3.25992E+13,2.799E+13,5.2799E+12,6.2034E+12,8.5998E+12,7.6618E+12,1.39452E+13,1.85092E+13,,
Exports of goods and services (current US$),103762705,97683169.97,109000419.2,157385220.7,171665671.4,222484985,331687182.1,442518113.3,620639797.6,814720988.3,1030074704,1255365116,1803049200,3319943764,4344698000,4934710744,7634504132,10014876033,12990909091,15836157025,18598850896,21836189301,21445122285,24472574927,28184322192,27219948967,37350048216,51508564621,64845584918,67555773985,70825844919,78616895071,85583424070,92953766803,1.11597E+11,1.45749E+11,1.51334E+11,1.615E+11,1.51556E+11,1.62143E+11,1.9555E+11,1.74088E+11,1.86748E+11,2.20638E+11,2.91526E+11,3.29862E+11,3.75223E+11,4.38466E+11,4.98972E+11,4.26523E+11,5.38898E+11,6.68441E+11,6.91553E+11,7.03109E+11,7.0997E+11,6.30129E+11,6.02035E+11,6.64731E+11,7.1949E+11,6.48611E+11,5.96945E+11
Households and NPISHs Final consumption expenditure per capita growth (annual %),,-0.667596518,6.651478454,1.46956323,5.742072508,4.196968865,3.936075441,6.240202764,8.01226393,8.211933296,8.150415317,7.450047503,3.654047347,7.16046117,5.671476443,3.955722964,6.692989487,3.920501531,6.894159773,7.095933271,-1.54981038,3.786312133,5.89026151,7.656409549,6.383997347,6.253558874,8.257045975,7.527285986,8.316035228,9.726105803,8.974543608,7.983839492,5.865046159,5.866734028,8.11105056,9.61596725,6.721967034,3.2489982,-12.5557983,11.25369045,8.410008169,4.984442916,8.349236423,-0.89353756,0.002294124,4.434611715,4.372111503,4.75312226,0.854487579,-0.29634552,3.872614065,2.158793269,1.121225685,1.274055654,1.355583163,1.672596283,2.186047605,2.486711115,2.691119582,1.464846679,-5.057934525
Military expenditure (% of GDP),7.157548334,6.726149623,6.867196368,4.823859087,4.134439601,4.410474878,4.688873693,4.68514254,4.730641797,4.694394892,4.403346543,4.734988606,5.010068079,4.034732164,4.541445628,4.878716477,5.908155684,6.034939121,6.371450619,5.525876568,6.398772113,6.415857298,6.240894485,5.726813608,5.254535393,5.225531685,4.948256251,4.46860555,4.281215938,4.290235295,4.002304289,3.711127841,3.69027269,3.417894838,3.192752669,2.892332986,2.743479663,2.663387808,2.794442004,2.49257722,2.45731752,2.427877741,2.315474377,2.328664618,2.331064888,2.467282737,2.48836867,2.469638856,2.489402769,2.603514106,2.462719203,2.472955581,2.499299881,2.503009023,2.529935781,2.494981214,2.459578022,2.421489133,2.503035257,2.673128162,2.847240547
